06-16-22,57440,5
06-16-22,88620,10
06-16-22,36710,4
06-15-22,69190,8
06-15-22,46130,4
06-14-22,41030,4
06-14-22,39160,3
06-13-22,40230,5
06-13-22,36920,4
06-13-22,61840,7
06-12-22,72430,6
06-12-22,43830,3
06-11-22,41040,4
06-11-22,71840,6
06-10-22,69990,7
06-10-22,56680,6
06-09-22,32450,3
06-09-22,36000,3
06-08-22,53420,5
06-08-22,35890,4
06-08-22,50860,6
06-08-22,31500,2
06-07-22,30140,4
06-07-22,55050,5
06-07-22,39590,4
06-06-22,36740,4
06-06-22,40520,3
06-06-22,61290,5
06-05-22,53030,5
06-05-22,46850,5
06-04-22,39740,4
06-04-22,70110,7
06-04-22,34090,3
06-04-22,70510,7
06-03-22,40170,4
06-03-22,54650,6
06-03-22,33140,3
06-03-22,52260,5
06-03-22,51640,5
06-02-22,21470,2
06-02-22,39370,5
06-02-22,67510,6
06-01-22,33520,4
06-01-22,54560,5
06-01-22,40250,4
06-01-22,41270,4
05-31-22,4100,0
05-31-22,33850,3
05-31-22,58730,6
05-30-22,62040,6
05-30-22,71430,6
05-30-22,32970,2
05-29-22,43350,4
05-29-22,80270,7
05-28-22,95950,10
05-28-22,66280,6
05-27-22,72350,7
05-27-22,74220,7
05-26-22,77660,6
05-26-22,35230,3
05-26-22,43080,4
05-25-22,60050,6
05-25-22,39910,5
05-25-22,62680,6
05-25-22,36910,3
05-24-22,80500,9
05-24-22,1700,0
05-24-22,48930,5
05-24-22,83420,8
05-23-22,60520,6
05-23-22,51940,6
05-23-22,67190,6
05-22-22,41000,3
05-22-22,87980,8
05-21-22,55710,5
05-21-22,82620,8
05-20-22,61580,6
05-20-22,80690,8
05-20-22,51910,5
05-19-22,65690,7
05-19-22,65610,7
05-19-22,37070,3
05-18-22,60270,6
05-18-22,82420,8
05-18-22,36280,2
05-17-22,81800,8
05-17-22,72920,8
05-17-22,73700,7
05-17-22,55940,5
05-16-22,42740,4
05-16-22,27040,2
05-16-22,70430,7
05-16-22,42040,4
05-15-22,32960,4
05-15-22,27780,2
05-15-22,30010,2
05-14-22,32250,2
05-14-22,55450,5
05-13-22,40890,4
05-13-22,75830,6
05-12-22,73880,8
05-12-22,48170,4
05-11-22,44850,4
05-11-22,65610,6
05-11-22,43850,4
05-11-22,44560,4
05-10-22,57330,5
05-10-22,67920,7
05-10-22,58400,6
05-09-22,42180,4
05-09-22,44220,3
05-09-22,38590,3
05-09-22,71760,6
05-08-22,50410,5
05-08-22,46540,4
05-07-22,60390,5
05-07-22,26500,2
05-06-22,66660,6
05-06-22,59100,6
05-05-22,55470,5
05-05-22,45840,5
05-05-22,47690,6
05-04-22,77370,7
05-04-22,82190,7
05-03-22,74640,7
05-03-22,43450,4
05-03-22,50350,5
05-03-22,22520,1
05-03-22,32280,2
05-02-22,55370,6
05-02-22,81500,8
05-01-22,65030,6
05-01-22,76140,7
04-30-22,75210,6
04-30-22,38200,3
04-30-22,28950,2
04-29-22,81870,7
04-29-22,76060,8
04-29-22,45900,4
04-28-22,64180,6
04-28-22,53820,5
04-28-22,37910,5
04-27-22,100280,9
04-27-22,42850,5
04-27-22,14350,1
04-26-22,63420,6
04-26-22,47000,5
04-26-22,46860,5
04-25-22,91810,10
04-25-22,47650,4
04-25-22,29280,2
04-24-22,77690,7
04-24-22,15060,1
04-23-22,77860,6
04-23-22,48280,4
04-22-22,65800,6
04-22-22,61140,6
04-22-22,64350,6
04-21-22,76100,6
04-21-22,54170,5
04-21-22,51340,5
04-21-22,71770,6
04-21-22,40570,4
04-20-22,80180,7
04-20-22,32810,4
04-20-22,46190,5
04-20-22,59860,6
04-19-22,78840,7
04-19-22,41970,5
04-19-22,71410,6
04-18-22,53860,5
04-18-22,54740,6
04-18-22,37890,4
04-18-22,34200,3
04-18-22,35340,3
04-17-22,114600,11
04-17-22,44560,4
04-16-22,46110,4
04-16-22,77000,8
04-15-22,32690,4
04-15-22,59280,6
04-14-22,39720,3
04-14-22,46120,5
04-14-22,30130,3
04-14-22,46770,5
04-13-22,78000,7
04-13-22,64400,6
04-12-22,30150,2
04-12-22,44710,4
04-12-22,39830,4
04-12-22,42450,4
04-12-22,37600,4
04-11-22,51320,4
04-11-22,42120,4
04-11-22,37480,4
04-11-22,71730,5
04-11-22,39110,3
04-10-22,24410,2
04-10-22,34260,3
04-10-22,77660,6
04-09-22,50970,6
04-09-22,58190,6
04-09-22,24610,2
04-08-22,43180,4
04-08-22,64740,6
04-08-22,70340,7
04-08-22,38210,4
04-08-22,37720,4
04-07-22,41060,4
04-07-22,53710,6
04-07-22,44110,5
04-06-22,56100,6
04-06-22,18280,1
04-06-22,52990,5
04-05-22,67960,7
04-05-22,49040,5
04-05-22,43050,4
04-04-22,66320,6
04-04-22,78650,6
04-03-22,73280,7
04-03-22,36870,4
